Word Mark,Goods and Services,Filing Date,Owner
WHOLE FOODS,"IC 009. US 021 023 026 036 038. G & S: Apparatus and instruments for conducting, switching, transforming, accumulating, regulating or controlling electricity; apparatus for recording, transmission or reproduction of sound or images; blank magnetic data carriers; blank recording discs; blank compact discs; and blank DVDs; mechanisms for coin-operated apparatus; cash registers, calculating machines, data processing equipment, computers; computer software, namely, computer application software for users to access coupons and rebates; computer application software for sharing digital content; computer application software to enable users to access and interact with information in the fields of recipes, nutrition, cooking, health, wellness; fire-extinguishing apparatus; portable and handheld electronic devices for transmitting, storing, manipulating, recording, and reviewing text, images, audio, video and data, including via global computer networks, wireless networks, and electronic communications networks and structural parts and fittings therefor; tablet computers, electronic book readers, digital audio and video players, electronic personal organizers, personal digital assistants, and global positioning system devices and structural parts and fittings therefor; computer peripheral devices; computer, video, baby, and television monitors; LCD large screen displays; electric wires, electric cables; modems; document and photo printers; disk drives; electrical and power adapters; computer card adapters; flash card adapters; cable connectors; plug-in connectors; electrical power connectors; computer docking stations; LED drivers; battery chargers; battery packs; memory cards and memory card readers; audio speakers; microphones; headsets for mobile telephones and virtual reality games; cases, covers, and stands for computers; cases, covers, and stands for portable and handheld electronic devices for transmitting, storing, manipulating, recording, and reviewing text, images, sound, audio, video and data, including via global computer networks; cases, covers, and stands for tablet computers, electronic book readers, audio and video players, electronic personal organizers, personal digital assistants, and global positioning system devices and devices for the display of electronically published materials, namely, books, journals, newspapers, magazines, multimedia presentations; remote controls for computers and portable and handheld electronic devices in the nature of smart phones, and portable media players; terminals for electronically processing credit card payments; apparatus for electronic payment processing; electronic payment terminal; USB cables; electronic docking stations; electrical connectors, wires, cables, and adaptors; headphones and earphones; computer programs, namely, data synchronization programs, and application development tool programs for personal and handheld computers; computer software for authoring, downloading, transmitting, receiving, editing, extracting, encoding, decoding, displaying, storing and organizing text, graphics, images, and electronic publications; downloadable electronic publications in the nature of digital magazines, newsletters, articles, and information sheets concerning goods and services offered to small business owners and shoppers; downloadable electronic books, magazines, periodicals, newsletters, newspapers, and journals in the fields of cooking, nutrition, shopping, leisure, lifestyle, personal improvement, fitness, nature, gardening, environmental issues, conservation, food, wine, diet, health, wellness, popular culture, and consumer information about products and services of others; downloadable electronic publications in the nature of electronic books, magazines, periodicals, newsletters, newspapers, journals, comic books and screenplays all in the fields of cooking, nutrition, shopping, leisure, lifestyle, personal improvement, fitness, nature, gardening, environmental issues, conservation, food, wine, diet, health, wellness, popular culture, and consumer information about products and services of others, and all available via computer and communications networks; downloadable films and movies featuring fiction and non-fiction stories provided via computer and communications networks; downloadable templates for designing books, short stories, storyboards, screenplays, comics, audio and video files; computer software for the collection, editing, organizing, modifying, book marking, transmission, storage and sharing of data and information; downloadable audiobooks and digital audio files in the fields of cooking, nutrition, shopping, leisure, lifestyle, personal improvement, fitness, nature, gardening, environmental issues, conservation, food, wine, diet, health, wellness, popular culture, and consumer information about products and services of others; software for sound transmission and video display; database management software; character recognition software; voice recognition software; electronic mail and messaging software; computer software for accessing, browsing and searching online databases; computer software for accessing, browsing, and searching electronic bulletin boards; data synchronization software; application development software; barcode scanners; apparatus and instruments for reproducing sound or images; television apparatus and instruments, namely, television cameras, television antennas, television tuners, television transmitters, and television receivers; interactive electronic apparatus in the nature of cameras, video cameras, televisions, mobile phones, tablet computers, laptop computers, computers, global positioning system devices, electronic book readers; electrical power supplies; electrical transformers; batteries; cases and cabinets specially adapted for the storage of magnetic or optical data media; magnetic or optical data media, and recording discs, all featuring music; musical sound recordings; cinematographic films, exposed; exposed photographic films or slides; computers; computer hardware; computer firmware for data processing tasks; microcomputers; computer keyboards; blank data storage apparatus, namely, magnetic and optical disc drives and magnetic tape drives; computer software for word processing, data and image processing, information collection, information management, information presentation and control, database management, computer aided design, work management, email messaging, multimedia applications management; electrical power cords; electrical power chargers; battery charging devices for portable and handheld electronic devices; cases for mobile phones and laptops; keyboards for portable electronic devices; blank digital storage media; blank electronic storage media; blank smart cards; computer cables; calculators; camera cases; camera tripods; computer mice; computer network routers and hubs; USB hardware; USB-Hubs; flash card readers; projectors, namely, sound projectors and amplifiers; DVD burners; DVD drives; computer peripherals in the nature of wireless cards; media players; media player components and accessories, namely, protective covers and cases for portable media players, chargers, electrical and power cables; video electronics components and accessories, namely, electrical and power cables and chargers; fitted plastic films known as skins for covering and protecting electronic apparatus, namely, mobile phones, portable music players, personal digital assistants; video recorders and components and accessories therefore in the nature of cords, adapters, battery chargers, peripherals, and styluses; video cables; extension cables; electrical and power cables; converters; USB hardware; computer and memory storage devices, namely, blank flash drives, USB drives, digital USB storage cards and card readers; printer components and accessories, namely, cables; Computer software for accessing movies, TV shows, videos and music; downloadable audio content provided via computer and communications networks in the fields of shopping, leisure, lifestyle, personal improvement, fitness, nature, gardening, environmental issues, conservation, food, diet, health, recipes, meal planning, nutrition, cooking, wellness, grocery shopping, coupons, and special offers; downloadable digital audio files featuring in the fields of shopping, leisure, lifestyle, personal improvement, fitness, nature, gardening, environmental issues, conservation, food, diet, health, recipes, meal planning, nutrition, cooking, wellness, grocery shopping, coupons, and special offers; Computer game programs; Computer game software; Game software; Interactive game software; Interactive game programs; Computer application software for mobile devices, internet browsers, set-top boxes, electronic readers, and tablet computers, namely, software for video games and online shopping and product comparison; Computer-software development tools; telephones, mobile phones, videophones, cameras; monitors for television receiver; television receivers being TV sets and television transmitters; remote controllers for television receiver being TV sets; electronic notepads; radio receivers; radio transmitters; video cameras; computer software and firmware, namely, operating system programs for use with communication servers; data synchronization software programs, in the nature of application development tool programs for personal and handheld computers and mobile digital electronic devices; telephony management software, namely, operating software for mobile telephone, smartphone and computer tablets; telephone-based information retrieval software and hardware; software for the redirection of email messages; computer application software for mobile phones, smart phones and tablet devices for the bringing together, for the benefit of others, of a variety of goods and services, enabling customers to conveniently view and purchase those goods and services; computer application software and embedded computer application software for mobile phones, smart phones and tablet devices, namely, software that enables photos and videos from cameras found on mobile phones, smart phones and tablet devices to be shared in social media for social networking purposes; computer programs for accessing, browsing and searching online databases; computer hardware and software for providing integrated telephone communication with computerized global information networks; parts and accessories for mobile telephones, smartphones and tablet computers in the nature of covers, cases, cases made of leather or imitations of leather, covers made of cloth or textile materials, batteries, rechargeable batteries, chargers, chargers for electric batteries, data cables, power cables, headphones, stereo headphones, inear headphones, stereo speakers, audio speakers, audio speakers for home, headsets for wireless communication apparatus; personal stereo speaker apparatus; car audio apparatus, namely, audio speakers for automobiles; downloadable software for accessing and managing of computer applications over a global computer network IC 016. US 002 005 022 023 029 037 038 050. G & S: Paper and cardboard; printed matter, namely, booklets, books, catalogues, charts, diagrams, flyers, magazines, manuals, newsletters, pamphlets, periodicals, prospectuses and instructional and teaching materials in the fields of shopping, leisure, lifestyle, personal improvement, fitness, nature, gardening, environmental issues, conservation, food, diet, health, recipes, meal planning, nutrition, cooking, wellness, grocery shopping, coupons, and special offers; bookbinding material; photographs; adhesives for stationery or household purposes; artists' and drawing materials, namely, artists' pens, artists' pencils, artists' pastels, artists' brushes, artists' charcoal, canvas panels for artists, canvas stretcher bars for artists, molds for modelling clays; paintbrushes; plastic sheets for wrapping and packaging; printers' type, printing block; absorbent sheets of paper or plastic for foodstuff packaging; address stamps; address plates for addressing machines; addressing machines; adhesive tape dispensers; adhesive tapes for stationery or household purposes; adhesive bands for stationery or household purposes; printed advertisement boards of paper or cardboard; albums, namely, stamp albums, photo albums, event albums, sticker albums, scrapbook albums, wedding albums, coin albums, memory books, brag books, and albums for trading cards; scrapbooks; almanacs; announcement cards; aquarelles; watercolor paintings; architects' models; artists' watercolor saucers; atlases; paper bags for packaging; bags for microwave cooking; balls for ball-point pens; banners of paper; bibs of paper; binding strips; printed illustrations of biological samples for use in microscopy; blackboards; blotters; blueprints; printed plans; bookbinding apparatus and machines for office use; bookends; bookmarkers; bottle envelopes of paper or cardboard; bottle wrappers of paper or cardboard; boxes of paper or cardboard; bunting of paper; desk mounted and desktop cabinets for stationery; calendars; canvas for painting; carbon paper; cardboard; cardboard tubes; cards, namely, announcement cards, baseball cards, blank cards, blank note cards, business cards, cards bearing universal greetings, Christmas cards, collectible trading cards, correspondence cards, display cards primarily composed of cardboard, file cards, flash cards, holiday cards, invitation cards, motivational cards, note cards, occasion cards, paper gift cards, picture cards, place cards, printed recipe cards, record cards, score cards, scratch cards, social note cards, sports trading cards, tarot cards, trivia cards, and visiting cards; cards, namely, cards not magnetically coded for use in business transactions, charge, credit, or debit cards without magnetic coding, non-magnetically encoded fidelity cards, non-magnetically encoded gift cards, and novelty identification cards; stamp cases; chalk for lithography; chalk holders in the nature of writing grips for holding a single piece of chalk; charcoal pencils; chart pointers, non-electronic; chromolithographs; chromos; cigar bands; clipboards; clips for offices, namely, letter clips, bulldog clips, binder clips, and clips for name badge holders; staples for offices; cloth for bookbinding; bookbinding cloth; coasters of paper; comic books; compasses for drawing; composing frames for moveable type; composing sticks for typesetting; conical paper bags; copying paper; cords for bookbinding; bookbinding cords; correcting fluids for documents; correcting ink; correcting tapes; covers, namely, notebook covers, document covers, passbook covers, passport covers, checkbook covers, book covers, paper tray covers, paper report covers, pen and pencil covers, paper covers for telephone receivers, unfitted furniture covers of paper, fitted covers for paper towels, fitted covers for toilet paper, dental tray covers of paper, paper futon covers, and toilet seat cover paper; coin wrappers; food wrappers; credit card imprinters, non-electric; desk mats; document files; document laminators for office use; document holders; drawer liners of paper, perfumed or not; drawing pads; drawing pins; thumbtacks; drawing boards; drawing materials, namely, drawing material for blackboards, drawing brushes, drawing curves, drawing ink, drawing paper, drawing pencils, drawing shields, drawing tablets, drawing templates, drawing trays, drawing triangles, drawing T-squares, protractors as drawing instruments, and sandpaper for sharpening drawing pencils; drawing instruments; drawing sets, namely, packaged sets of drawing instruments and drawing pads; drawing pens; drawing rulers; rotary duplicators; elastic bands for offices; electrocardiograph paper; electrotypes; embroidery design patterns; engraving plates; print engravings; envelope sealing machines for offices; envelopes; erasers; stencils in the nature of erasing shields; etching needles; etchings; fabrics for bookbinding; face towels of paper; paper mache figurines; files, namely, card files, document files, file folders, letter files, and paper expanding files; filter paper; creped wood pulp paper filter that is acid and alkali resistant for laboratory and industrial purposes; finger-stalls; flags of paper; flower-pot covers of paper; covers of paper for flower pots; folders for papers; jackets for papers; folders; forms, printed; fountain pens; franking machines for office use; postage meters for office use; French curves; printers' galley racks; geographical maps; glue for stationery or household purposes; pastes for stationery or household purposes; graining combs; graphic prints; graphic art reproductions; graphic representations; greeting cards; gummed tape for stationery or household purposes; gummed cloth for stationery purposes; hand-held labelling devices; hand-rests for painters specially designed for use with easels; handkerchiefs of paper; printed handwriting specimens for copying; hat boxes of cardboard; hectographs; histological sections for teaching purposes; holders for stamps, namely, document stamp racks, mounts for stamps, sleeves for holding and protecting stamps, and stamp albums; holders for checkbooks; house painters' rollers; humidity control sheets of paper or plastic for foodstuff packaging; index cards; telephone indexes; Indian inks; writing ink; calligraphy ink; duplicating ink; fountain pen ink cartridges; ink for pens; ink for writing instruments; ink pen refill cartridges; stamp inks; ink sticks; ink stones; inking pads; inking ribbons; inking sheets for document reproducing machines; inking ribbons for computer printers; inkstands; inkwells; labels of paper or cardboard; ledger books; letter trays; lithographic works of art; lithographic stones; lithographs; loose-leaf binders; manifold paper; marking chalk; marking pens; paper mats for beer glasses; mimeograph apparatus and machines; modelling clay; modelling wax, not for dental purposes; Modeling materials for use in making cast paper sculptured flowers; Modeling materials and compounds for use by children; modelling paste; finger moisteners; moisteners in the nature of hand held devices for wetting stamps, envelopes and gummed paper surfaces; money clips; molds for modelling clays; photograph mounts; musical greeting cards; newspapers; pen nibs; note books; numbering guides; numbering machines; numbering stamps; office perforators; maps; oleographs; packaging and containers comprised of starch-based materials in the nature of a paper substitute for food, beverages and consumer products; packing materials of paper or cardboard; art pads; burp pads of paper; calendar desk pads of paper; calendar desk pads; desk pads; easel pads; legal pads; loose-leaf pads; memo pads; paper pads for changing diapers; sandpaper pads for sharpening drawing pencils; score pads; scratch pads; scribble pads; sketch pads; writing pads; page holders; paint boxes; paint trays; painters' brushes; painters' easels; paintings, framed or unframed; palettes for painters; pantographs being drawing instruments; paper; paper for recording machines; paper fasteners; luminous paper; paper tapes and cards for the recordal of computer programmes; paper for radiograms; paper ribbons, other than haberdashery or hair decorations; paper shredders for office use; paper knives being parts of paper cutters for office use; paper cutters for office use; hand-held paper knives; paper coffee filters; paper bows, other than haberdashery or hair decorations; paper-clips; paperweights; papier mch; parchment paper; passport holders; pastels; pen clips; pen cases; boxes for pens; pencil sharpening machines, electric or non-electric; pencil leads; pencil holders; pencil lead holders; pencil sharpeners, electric or non-electric; pencils; penholders; pens; perforated cards for Jacquard looms; photo-engravings; photograph stands; pictures; placards of paper or cardboard; place mats of paper; plastic bubble packs for wrapping or packaging; plastic cling film, extensible, for palletization; plastic bags for pet waste disposal; plastic clays for modelling; polymer modelling clay; portraits; postage stamps; postcards; posters; printed timetables; printed matter, namely, address books, appointment books, maps, notepads, notebooks, paper gift tags, paper pennants; printed coupons; printed sheet music; printers' blankets, not of textile; printers' reglets; printing blocks; printing type; portable printing sets comprised primarily of printer's type and paper; prints; paper hole punches; hand-operated punches being office requisites; electric paper hole punches being office requisites; rice paper; rollers for typewriters; rubber erasers; school writing books; school supply kits containing various combinations of selected school supplies, namely, writing instruments, pens, pencils, mechanical pencils, erasers, markers, crayons, highlighter pens, folders, notebooks, paper, protractors, paper clips, pencil sharpeners, writing grips, glue and book marks; sealing stamps; sealing wax; sealing machines for offices; sealing compounds for stationery purposes; seals; self-adhesive tapes for stationery or household purposes; printed sewing patterns; sheets of reclaimed cellulose for wrapping; signboards of paper or cardboard; silver paper; slate pencils; song books; spools for inking ribbons; spray chalk; square rulers for drawing; drawing squares; stamp pads; stamp stands; ink stamps; date stamps; impression stamps; marking stamps; rubber stamps; stands for pens and pencils; stapling presses; starch paste for stationery or household purposes; stationery; steatite tailor's chalk; steel pens; stencil cases; stencil plates; stencils; stickers; stuffing of paper or cardboard; T-squares for drawing; table linen of paper; table napkins of paper; table runners of paper; tablecloths of paper; tablemats of paper; tags for index cards; tailors' chalk; terrestrial globes; entry tickets; passenger tickets; price tickets; printed tickets; hygienic paper; tracing paper; tracing cloth; tracing needles for drawing purposes; trading cards, other than for games; decalcomanias; paper transparencies; plastic transparencies; trays for sorting and counting money; print letters and blocks; typewriter ribbons; typewriter keys; typewriters, electric or non-electric; viscose sheets for wrapping; washi; wood pulp cardboard; wood pulp paper; wrapping paper; packing paper; wristbands for the retention of writing instruments; writing slates; writing or drawing books; writing chalk; writing paper; writing cases, namely, stationery cases; writing brushes; writing instruments; writing board erasers; Xuan paper for Chinese painting and calligraphy IC 021. US 002 013 023 029 030 033 040 050. G & S: Combs; sponges for household use; brushes, namely, basting brushes, brushes for footwear, cosmetic brushes, electric hot brushes, brushes for cleaning tanks and containers, dishwashing brushes, eyebrow brushes, eyelash brushes, horse brushes, lamp-glass brushes, make-up brushes, nail brushes, scrubbing brushes, shaving brushes, ski wax brushes, toilet brushes; brush-making materials; articles for cleaning purposes, namely, chamois leather, buckskin, skins of chamois, cleaning cotton, rags, pads for cleaning, steel wool for cleaning, wool rags for cleaning; unworked or semi-worked glass, except building glass; beverage glassware; abrasive pads for kitchen purposes; abrasive sponges for scrubbing the skin; aerosol dispensers, not for medical purposes; animal bristles for brush-making; aquarium hoods; electric devices for attracting and killing insects; autoclaves, non-electric, for cooking; pressure cookers, non-electric; portable baby bath tubs; baking mats; basins in the nature of receptacles; baskets for household purposes; basting spoons being cooking utensils; egg beaters, non-electric; beer mugs; bird baths being bowls for birds to bathe in; birdcages; food blenders, non-electric, for household purposes; boot jacks; boot trees for stretching boots; bottle openers, electric and non-electric; water bottles sold empty; basins in the nature of bowls; boxes for dispensing paper towels for household use; boxes of glass; bread baskets for household purposes; bread boards; bread bins; broom handles; brooms; brush goods being brush-making materials; material for brush-making; buckets; pails; buckets made of woven fabrics; bulb basters; busts of porcelain, ceramic, earthenware or glass; butter dishes; butter-dish covers; buttonhooks; cabarets being trays; cages for household pets; cake molds; non-electric candelabras; candlesticks; candle rings; candle extinguishers; candle jars being holders; candy boxes; boxes for sweetmeats; car washing mitts; carpet beaters being hand instruments; non-electric carpet sweepers; cauldrons; ceramic decorative tiles, sculptures, vases, vessels, bowls, plates, and pots for household purposes; chamber pots; chamois leather for cleaning; buckskin for cleaning; skins of chamois for cleaning; cheese-dish covers; china ornaments; chopsticks; cinder sifters for household use; hand-operated clothes wringers; tension closing device for pot lids; cloth for washing floors; clothes-pins; clothing stretchers; stretchers for clothing; coasters, not of paper or textile; cocktail shakers; cocktail stirrers; coffee grinders, hand-operated; coffee filters, not of paper, being part of non-electric coffee makers; coffee percolators, non-electric; coffeepots, non-electric; coin banks; cold packs for chilling food and beverages; comb cases; combs for animals; electric combs; confectioners' decorating bags being pastry bags; containers for household or kitchen use; cookery molds; cookie cutters; biscuit cutters; cookie jars; cooking pot sets; cooking skewers of metal; rolling pins of metal for cooking purposes; cooking pots; corkscrews, electric and non-electric; cosmetic applicators; cosmetic spatulas; cruet sets for oil and vinegar; cruets; crumb trays; crushers for kitchen use, non-electric; crystal beverageware; cups of paper; currycombs; cutting boards for the kitchen; decanter tags; decanters; deep fryers, non-electric; demijohns; carboys; hand-operated vaporizers for personal use; dish covers; dishes; disposable table plates; drinking troughs; drinking vessels; drinking horns; drinking bottles for sports; drinking glasses; dripping pans; drying racks for laundry; dustbins; garbage cans; refuse bins; trash cans; dusting gloves; feather dusters; dusting cloths in the nature of rags; earthenware crockery, namely, pots, dishes, saucepans, serving bowls, mugs, basins in the nature of bowls, jars, and Japanese style mortars for kitchen use; egg cups; egg separators, non-electric, for household purposes; enamelled glass, not for building; epergnes; feather-dusters; feeding troughs; fiberglass, other than for insulation or textile use; fiberglass thread, not for textile use; figurines being statuettes of porcelain, ceramic, earthenware or glass; statuettes of porcelain, ceramic, earthenware or glass; flasks; flat-iron stands; floss for dental purposes; flower pots; flower-pot covers, not of paper; fly swatters; fly traps; foam toe separators for use in pedicures; food steamers, non-electric; fruit cups being cups for holding fruit, sold empty; fruit presses, non-electric, for household purposes; frying pans; funnels; furniture dusters; gardening gloves; garlic presses being kitchen utensils; glass bulbs being containers for household use; glass flasks being containers; glass jars in the nature of carboys; glass stoppers for bottles; glass bowls; glass, unworked or semi-worked, except building glass; glass wool, other than for insulation; glass incorporating fine electrical conductors; glass for vehicle windows as a semi-finished product; glasses being beverageware; glove stretchers; gloves for household purposes; glue-pots; graters for kitchen use; structural parts for camping grills, namely, grill supports and gridiron supports; grills in the nature of cooking utensils; griddles being cooking utensils; hair for brushes; heads for electric toothbrushes; heat-insulated containers for beverages; heat-insulated containers for household use; heaters for feeding bottles, non-electric; hip flasks; vases; horsehair for brush-making; hot pots, not electrically heated; ice cube molds; ice buckets; coolers in the nature of ice pails; ice pails; ice tongs; ice cream scoops; indoor terrariums for plant cultivation; indoor aquaria; tanks for indoor aquaria; indoor terrariums being vivariums; insect traps; insulating flasks in the nature of vacuum bottles; ironing board covers, shaped; ironing boards; isothermic bags being insulated bags for food or beverages; jugs; pitchers; kettles, non-electric; kitchen grinders, non-electric; kitchen containers; kitchen utensils, namely, dishers, kitchen tongs, grills, grill covers, turners, skimmers, wire baskets, barbecue branders, and splatter screens; knife rests for the table; ladles for serving wine; large-toothed combs for the hair; lazy susans; lint removers, electric or non-electric; liqueur sets, namely, decanters and snifters; litter boxes for pets; litter trays for pets; lunch boxes; majolica, being earthenware pots and dishes; make-up removing appliances; make-up sponges; mangers for animals; menu card holders; mess-tins; hand-operated salt mills; mixing spoons being kitchen utensils; mop wringers; mop wringer buckets; mops; mortars for kitchen use; mosaics of glass, not for building; cookery molds being kitchen utensils; mouse traps; mugs; napkin rings; nest eggs, artificial; nozzles for watering hose; nozzles for watering cans; roses for watering cans; nutcrackers; opal glass; opaline glass; oven mitts; barbecue mitts; kitchen mitts; painted beverage glassware; paper plates; pastry cutters; pepper mills, hand-operated; pepper pots; perfume burners; perfume vaporizers sold empty; pestles for kitchen use; fitted picnic baskets, including dishes; pie servers; tart scoops; pig bristles for brush-making; piggy banks; wine-tasters; wine tasters being siphons; place mats, not of paper or textile; polished, wired, figured, smoothed, and ground plate glass; plates to prevent milk boiling over; plug-in diffusers for mosquito repellents; plungers for clearing blocked drains; polishing leather; tooth polishing apparatus for home use; polishing materials, namely, polishing gloves, polishing cloths, polishing leather, shoe polishing mitts, polishing fleeces for skis; polishing gloves; polishing cloths; porcelain ware, namely, flower pots, mugs, eggs, cake decorations, jars for jams and jellies, and signboards; portable cool boxes, non-electric; portable coolers, non-electric; pot lids; potholders; pots; poultry rings; pouring spouts for household use; powder puffs; powder compacts; powdered glass for decoration; rat traps; refrigerating bottles being insulated bottles for beverages sold empty; reusable ice cubes; rings for identifying birds; rolling pins, domestic; salad bowls; salad tongs; salt cellars; salt shakers; saucepan scourers of metal; saucers; scoops for household purposes; scouring pads; services being dishes; serving ladles; shaving brush stands; shoe trees being stretchers for shoes; shoe horns; sieves being household utensils; hand-operated cooking sifters being household utensils; signboards of porcelain or glass; siphon bottles for carbonated water; soap boxes; soap dispensers; soap holders; dishes for soap; soup bowls; spatulas for kitchen use; spice sets in the nature of spice racks; sponge holders; sponges for household purposes; grass and lawn sprinklers; statues of porcelain, ceramic, earthenware or glass; steel wool for cleaning; stew-pans; strainers for household purposes; straws for drinking; drinking straws; sugar bowls; sugar tongs; syringes for watering flowers and plants; sprinklers for watering flowers and plants; table napkin holders; table plates; tablemats, not of paper or textile; tableware, namely, coffee services, tea services; tankards; tar-brushes, long handled; tea caddies; tea infusers; tea balls; tea strainers; tea cosies; teapots; thermally insulated containers for food; tie presses; toilet cases being fitted vanity cases; toilet paper dispensers; toilet sponges; toilet utensils, namely, toilet plunger holders, holders for toilet paper, and toilet plungers; toilet paper holders; toothbrushes; toothbrushes, electric; toothpick holders; toothpicks; non-electric tortilla presses; towel rails and rings; trays of paper, for household purposes; trays for household purposes; trivets being table utensils; trouser press","December 15, 2017","(APPLICANT) Amazon Technologies , Inc. CORPORATION NEVADA ATTN: Trademarks 410 Terry Ave N Seattle WASHINGTON 98109"
WICKEDLY PRIME,"IC 029. US 046. G & S: edible oils; fruit-based snack food; fruit chips; nuts, prepared. FIRST USE: 20170413. FIRST USE IN COMMERCE: 20170413 IC 030. US 046. G & S: mustard. FIRST USE: 20171219. FIRST USE IN COMMERCE: 20171219","May 16, 2016","(REGISTRANT) AMAZON TECHNOLOGIES , INC. CORPORATION NEVADA 410 TERRY AVE N SEATTLE WASHINGTON 98109"
WONDER BOUND,"IC 003. US 001 004 006 050 051 052. G & S: Cosmetics for animals; Deodorizers for pets; Pet fragrances; Pet shampoos IC 005. US 005 006 018 044 046 051 052. G & S: Anti-inflammatories; Antiseptics; Antibacterial substances for medical purposes; Antiparasitic preparations; Diapers for pets; Dietary supplements for pets; Dietary supplements for pets in the nature of a powdered drink mix; Feed supplements for pets; Flea collars; Flea and tick treatment preparations for pets; Heartworm prevention medications for pets; Medical cleansers for skin and wounds; Medicated animal washes; Medicated grooming preparations for pets, namely, shampoos, conditioners, ear rinse, medicated skin and hair lotions, medicated skin and hair sprays, medicated skin and hair powders, deodorizing spray, anti-itch skin tonic spray, medicated skin tonic oil, insect repellants, dog flea and tick spray, flea and tick natural shampoo bars, natural flea, tick and mosquito control spray and concentrate, natural pest control concentrate, medicated skin tonic and anti-itch spray, skin tonic oil for first aid treatment of sores and wounds, medicated sun screen, medicated pre-moistened wipes, cleaning preparations in the nature of medicated cosmetics, liquid bandage, antiseptic spray, hot spot lotion, and fly spray; Medicated shampoos for pets; Medicated skin care preparations; Medicated supplements for foodstuffs for animals; Nutritional supplements for animals; Pharmaceutical preparations for the treatment of worms in pets; Protein supplements for animals; Sore skin ointment for pets; Veterinary pharmaceutical preparations for the treatment of wounds; Veterinary pharmaceutical preparations for the treatment of skin and ear conditions in pets; Veterinary preparations for pets, namely, antimicrobial skincare and ear care; Veterinary preparations, namely, pain relief medication; Vitamins for pets; Herbal anti-itch and sore skin ointment for pets; Veterinary vaccines IC 016. US 002 005 022 023 029 037 038 050. G & S: Disposable house training pads for pets; Plastic bags for disposing of pet waste IC 018. US 001 002 003 022 041. G & S: Harnesses; Animal carriers; Animal leashes; Collars for animals; Pet clothing; Pet hair bows IC 020. US 002 013 022 025 032 050. G & S: Kennels for household pets; Pet crates; Pet cushions; Pet furniture IC 021. US 002 013 023 029 030 033 040 050. G & S: Cages for pets; Grooming tools for pets, namely, combs and brushes; Household storage containers for pet food; Pet bowls; Pet dishes; Scoops for the disposal of pet waste; Toothbrushes for pets IC 028. US 022 023 038 050. G & S: Pet toys IC 031. US 001 046. G & S: Animal foodstuffs; Edible pet treats; Pet beverages; Pet food","March 30, 2021","(APPLICANT) Amazon Technologies , Inc. CORPORATION NEVADA Attn: Trademarks 410 Terry Ave N Seattle WASHINGTON 98109"
WOOD PAPER COMPANY,"IC 025. US 022 039. G & S: Clothing, namely, shirts, pants, slacks, shorts, jackets and coats. FIRST USE: 20171208. FIRST USE IN COMMERCE: 20171208","November 10, 2017","(REGISTRANT) Amazon Technologies , Inc. CORPORATION NEVADA 410 Terry Ave N Seattle WASHINGTON 98109"
YOURS TRULY,"IC 014. US 002 027 028 050. G & S: Jewellery, precious and semi-precious stones; Jewelry and imitation jewelry; Jewelry chains; Jewelry charms in precious metals or coated therewith; Jewelry watches; Jewelry, namely, anklets; Jewelry, namely, bracelets, wristbands and necklaces that also provides notification to the wearer of a pending medical related task; Jewelry, namely, stone pendants; Beads for making jewelry; Bracelets; Diamond jewelry; Gemstone jewelry; Gold jewelry; Paste jewelry; Plastic bracelets in the nature of jewelry; Precious and semi-precious crystal stones and beads for use in jewelry; Rings; Watches, clocks, jewellery and imitation jewellery; Women's jewelry","May 15, 2020","(APPLICANT) Amazon Technologies , Inc. CORPORATION NEVADA Attn: Trademarks 410 Terry Ave North Seattle WASHINGTON 98109"
ZANIE KIDS,"IC 025. US 022 039. G & S: Children's and infant's apparel, namely, rompers, jumpsuits, bodysuits, dresses, snowsuits, and sleepwear. FIRST USE: 20190430. FIRST USE IN COMMERCE: 20190430","February 11, 2021","(APPLICANT) Amazon Technologies , Inc. CORPORATION NEVADA Attn: Trademarks 410 Terry Avenue North Seattle WASHINGTON 98109"
ZAPPOS,,,
GABRIELLA ROCHA,,,
BOUQUETS,,,
VIGOTTI,,,
TYPE Z,,,
LASSEN,,,
FITZWELL,,,
RSVP,,,
STRATHWOOD,,,
